id,git_industry_category_key,git_pdf_template_type,git_filepath,git_filename,git_publishing_status,git_date_updated,git_commit_author,git_commit_subject,github_url,git_permalink,git_download_url,git_pdf_language,git_type_document,git_commit_hash,git_commit_hash_abbreviated,git_repository,git_change_type
,General,General-IG,pdf/COVID_immigrant_guidance--en.pdf,COVID_immigrant_guidance--en.pdf,"Git%20history","2020-07-07 12:43:39 -0700",Oriel Gomez,"Add files via upload",https://github.com/cagov/covid-static/blob/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--en.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance--en.pdf,https://github.com/cagov/covid-static/raw/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--en.pdf,English,PDF,"0b86b78f6aa82807f0400bab61b89b7679536280","0b86b78f",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance--es.pdf,COVID_immigrant_guidance--es.pdf,"Git%20history","2020-07-07 12:43:39 -0700",Oriel Gomez,"Add files via upload",https://github.com/cagov/covid-static/blob/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--es.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance--es.pdf,https://github.com/cagov/covid-static/raw/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--es.pdf,Spanish,PDF,"0b86b78f6aa82807f0400bab61b89b7679536280","0b86b78f",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ar.pdf,COVID_immigrant_guidance-ar.pdf,"Git%20history","2020-06-23 15:49:58 -0700",carterm,"Readding everything",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,Arabic,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ar.pdf,COVID_immigrant_guidance-ar.pdf,"Git%20history","2020-06-12 14:37:59 -0700",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,Arabic,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ar.pdf,COVID_immigrant_guidance-ar.pdf,"Git%20history","2020-06-23 15:49:58 -0700",carterm,"Readding everything",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,Arabic,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ar.pdf,COVID_immigrant_guidance-ar.pdf,"Git%20history","2020-06-12 14:37:59 -0700",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,Arabic,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ko.pdf,COVID_immigrant_guidance-ko.pdf,"Git%20history","2020-06-23 15:49:58 -0700",carterm,"Readding everything",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,Korean,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ko.pdf,COVID_immigrant_guidance-ko.pdf,"Git%20history","2020-06-12 14:37:59 -0700",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,Korean,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ko.pdf,COVID_immigrant_guidance-ko.pdf,"Git%20history","2020-06-23 15:49:58 -0700",carterm,"Readding everything",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,Korean,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,Added,
,General,General-IG,pdf/COVID_immigrant_guidance-ko.pdf,COVID_immigrant_guidance-ko.pdf,"Git%20history","2020-06-12 14:37:59 -0700",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,Korean,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,Added,
